"Project.Name","Out.Degrees","In.Degrees"
"alsa-sys",2,4
"alternate-future",3,1
"althea_kernel_interface",3,0
"alto",6,2
"alumina",8,0
"aluminum",6,0
"amazon_cognito_rust",19,0
"amber",13,0
"amethyst",44,0
"amethyst_animation",6,2
"amethyst_assets",13,6
"amethyst_audio",7,1
"amethyst_cli",3,0
"amethyst_config",6,2
"amethyst_core",9,9
"amethyst_engine",2,1
"amethyst_gltf",12,1
"amethyst_input",10,1
"amethyst_renderer",33,3
"amethyst_tools",11,0
"amethyst_ui",16,1
"amethyst_utils",2,1
"amf",1,0
"ami",0,9
"amigo",2,0
"amiwo",8,0
"ammonia",10,2
"amp",19,0
"amq-proto",6,1
"amq-protocol",5,5
"amq-protocol-codegen",6,2
"amq-protocol-types",5,3
"amqp",10,1
"amqpr",10,0
"amqpr-api",8,1
"amqpr-codec",4,2
"amstrmid-sys",1,0
"amy",4,2
"an-rope",6,1
"analyticord",7,0
"android_liblog-sys",1,1
"android_log",2,0
"android_log-sys",1,1
"android_logger",2,1
"android_looper",2,0
"android_looper-sys",2,2
"android_sensor-sys",2,0
"android_support",1,2
"android-bootimage",5,0
"android-cpufeatures-sys",1,0
"android-sparse",3,0
"anduin",15,0
"ang",4,0
"angle",4,0
"angular",4,0
"angular-units",2,0
"anima",2,0
"anima-engine",2,0
"anl",4,0
"annatar",3,0
"anne",3,0
"ansi_colour",2,4
"ansi_term",3,150
"ansi-escapes",1,3
"anterofit",14,0
"antidote",0,10
"antikoerper",7,0
"antimony",6,0
"any_key",2,0
"any-cache",0,2
"anybar_rs",2,0
"anycat",5,0
"anycollections",1,0
"anylog",3,0
"ao",1,1
"ao_rs",1,1
"ao-sys",2,1
"aof",3,0
"aovec",2,0
"apath",1,0
"ape",1,0
"api",4,0
"api_kit",5,0
"api-ms-win-net-isolation-l1-1-0-sys",1,0
"apiai",8,0
"apidll-sys",1,0
"apiety",5,0
"apint",7,0
"apns",6,0
"apns2",6,0
"apodize",2,3
"app",3,0
"app_dirs",4,26
"app_units",7,0
"appc",9,0
"appcore",4,0
"appdirs",3,2
"appendbuf",1,0
"apply_attr",2,0
"appmgmts-sys",1,0
"appmgr-sys",1,0
"appnotify-sys",1,0
"appro-eq",5,1
"approvals",1,0
"approx",0,60
"appscraps",7,0
"appscraps_dll",8,4
"appscraps_dll_error",1,2
"appscraps_dynamic_event",6,0
"appscraps_environment",4,3
"appscraps_event",7,2
"appscraps_module",5,6
"appscraps_shared",10,0
"appscraps_static",3,1
"appscraps_static_util",1,1
"apt-pkg-native",5,1
"apt-rs",1,0
"aqi-nacor-schema",4,0
"ar",1,2
"arc-cell",1,0
"arcball",3,0
"arcball-cgmath",3,0
"arccstr",3,0
"arch-audit",10,0
"arduino-esp",1,0
"arena-tree",1,1
"arendur",17,0
"argdata",1,0
"argmin",6,0
"argon2rs",4,7
"argonaut",0,1
"argparse",0,63
"args",2,1
"arguments",1,1
"aries",17,0
"arinc_429",2,0
"ark",8,0
"armorlib",7,0
"array",0,1
"array-init",1,1
"array-macro",2,1
"array-macro-internal",1,1
"array-queue",1,0
"array3d",1,0
"arraydeque",3,1
"arrayfire",9,4
"arrayfire_serde",4,0
"arrayref",1,24
"arrayvec",7,51
"artano",4,1
"arthas",23,0
"arthas_derive",3,1
"arthas_plugin",2,1
"arthroprod",3,0
"article-date-extractor",7,0
"artifact",3,0
"artifact-app",34,0
"aruba_ripple",2,0
"ascii",1,9
"ascii_set",1,1
"ascii-canvas",1,2
"asciicast",4,0
"asciii",34,0
"ascon",1,1
"asdf",4,0
"aseprite",3,1
"asexp",1,6
"ash",4,0
"asi_vulkan",4,2
"asink",8,0
"asio",1,0
"askalono",11,1
"askalono-cli",6,0
"askama",6,1
"askama_derive",5,1
"askama_shared",6,2
"asm6502",1,0
"asmuth_bloom_secret_sharing",5,0
"asn1",2,0
"asn1-cereal",2,0
"asnom",2,1
"aspen",3,0
"assembunny_plus",7,0
"assert",1,27
"assert_cli",8,16
"asserts",3,0
"assets",20,0
"assimp",5,2
"assimp-sys",5,2
"astar",3,0
"aster",3,24
"asteroid",3,0
"astral",7,1
"astral-cli",6,0
"astro",0,1
"astrup",8,0
"asycfilt-sys",1,0
"async_command",1,1
"async-await",2,0
"async-dnssd",8,0
"async-http-client",5,0
"async-mesos",12,0
"async-ringbuffer",7,5
"async-slot",1,2
"asynchronous",4,3
"atarashii_imap",2,0
"aterm",4,0
"athtool",4,0
"atk-sys",5,5
"atlas",4,0
"atlatl",8,0
"atm-async-utils",8,4
"atm-io-utils",2,4
"atoi",3,2
"atom",0,4
"atom_syndication",3,4
"atomic",0,3
"atomic_cell",2,0
"atomic_utilities",1,0
"atomicwrites",4,5
"atoms",1,0
"atpco-types",2,0
"atpp",1,0
"atsamd21g18a",4,0
"attr",1,0
"atty",4,40
"audact",4,0
"audio_thread_priority",7,0
"audio-video-metadata",3,0
"audiobaseprocessingobject-sys",1,0
"audioeng-sys",1,0
"audiomediatypecrt-sys",1,0
"audrey",8,1
"augeas",2,0
"augeas_sys",1,1
"aught_common",3,0
"aurelius",23,0
"aurum-color",4,1
"aurum-image",3,0
"aurum-linear",4,1
"aurum-winbase",3,0
"austenite",5,0
"authorize",1,1
"authy",4,0
"authz",7,0
"authz-sys",1,0
"auto_impl",2,0
"auto-image-cropper",3,0
"autograd",5,0
"autogui",2,0
"autoimpl",2,1
"autoimpl-derive",3,1
"autoit",2,0
"autojump",8,0
"autolink",1,0
"autollvm",1,0
"automaton",1,0
"autotools",1,0
"aux_ulib-sys",1,0
"auxv",3,1
"avec",0,1
"aventurine",2,0
"average",5,0
"avifil32-sys",1,0
"avl_tree",2,0
"avm",7,0
"avow",2,2
"avr-libc",3,0
"avr-mcu",2,2
"avr-test-suite",5,0
"avr-vm",8,0
"avrd",2,0
"avro",2,0
"avrt-sys",1,0
"avsser",6,0
"aw-fel",3,1
"awesome-bot",5,0
"awi",6,4
"awpack",4,0
"aws_instance_metadata",5,0
"aws_kms_crypt",11,0
"aws-sdk-rust",16,2
"ax25",1,0
"axal",2,0
"axle",4,0
"ayzim",13,0
"azure",12,0
"azure_core_sdk",17,2
"azure_cosmos_sdk",21,0
"azure_sdk_core",17,0
"azure_sdk_for_rust",22,0
"azure_service_bus_sdk",16,0
"azure-sdk-rust",11,0
"b2",4,0
"b2b",4,0
"b2sum",5,0
"b64",1,0
"ba",2,0
"baal",7,0
"backblaze-b2",8,1
"backend",2,0
"backgammon",1,0
"backoff",2,3
"backtalk",6,0
"backtrace",16,39
"backtrace-sys",3,1
"badge",2,0
"badger",3,0
"badlog",6,3
"baduk",1,0
"bagpipe",2,1
"baimax",8,0
"bakeit",6,0
"bakervm",11,0
"bamrescue",11,0
"banana",4,0
"bandit",5,0
"bank",6,0
"bankholidays",2,0
"bao",5,0
"bap",7,0
"bap-sys",2,1
"bar",5,0
"barcoders",2,0
"bare",3,0
"bare-websocket",6,0
"barfly",6,0
"barnacl",4,1
"barnacl_sys",2,1
"barnes",1,0
"barrel",2,0
"bart",2,1
"bart_derive",7,1
"base_emoji",5,0
"base-x",4,3
"base100",2,0
"base122",1,0
"base16-builder",6,0
"base256",1,0
"base32",3,11
"base32768",2,0
"base58",0,6
"base58check",2,0
"base64",3,215
"base64_t",1,0
"base64-serde",4,1
"base65536",3,0
"basehangul",1,0
"basesrv-sys",1,0
"basic_dsp",13,0
"basic_dsp_interop",3,1
"basic_dsp_matrix",5,1
"basic_dsp_vector",10,3
"basic_scheduler",1,1
"basic-hll",1,0
"basic-http-server",10,0
"basicaf",4,0
"basiccountminsketch",1,0
"basichll",1,0
"batch",15,0
"batch_resolve_cli",14,0
"batch-codegen",2,1
"batch-loader",6,0
"batch-recv",1,1
"batsim-rs",6,0
"bayer",6,0
"bazeld",7,0
"bbcode",2,0
"bcc",4,0
"bcc-sys",2,1
"bcm2709-spi",2,0
"bcmp",2,0
"bcndecode",2,0
"bcrypt",6,2
"bcrypt-bsd",3,0
"bcrypt-sys",1,1
"bcsat",1,0
"bdf",1,0
"bdrck",11,0
"bdrck_config",7,0
"bdrck_log",2,0
"bdrck_params",5,0
"beam",2,0
"beam_file",3,1
"beamdpr",4,0
"beanstalkd",0,2
"beanstalkd-cli",3,0
"beanstalkd-queue",1,0
"bear",0,1
"bear-lib-terminal",2,1
"bear-lib-terminal-sys",1,1
"bearer",14,0
"bearssl",2,0
"bearssl-sys",2,0
"beats",1,0
"beautician",1,1
"bech32",0,1
"beebox",1,0
"beehave",1,0
"beep",3,0
"beerxml",12,0
"bellman",9,1
"bench",4,0
"bench_timer",1,0
"bencode",4,3
"bencode-decoder",1,0
"bencoders",1,0
"bencoderus",1,0
"bender",3,0
"benv",2,0
"benzene",1,1
"benzene-2d",11,0
"ber",1,0
"bert",4,0
"best",2,1
"betabear",1,0
"betsy",6,0
"better_range",1,0
"bezier1",1,0
"bezier2",2,0
"bf",5,0
"bfc",8,0
"bgjk",1,0
"bgmrank-cli",3,0
"big",1,0
"bigbro",4,1
"bigdecimal",5,8
"bigint",7,7
"bigint2",1,1
"bigml",13,0
"bigtable",10,0
"bigwise",2,0
"bijection",4,0
"bill",6,1
"binance",14,0
"binary_macros",5,0
"binary_macros_impl",3,1
"binary-reader",1,0
"binary-space-partition",1,1
"binary-tree",4,1
"binaryen",2,0
"binaryen-sys",3,1
"bincode",8,134
"bincode_core",4,0
"bincode_ext",2,0
"bincrypt",6,0
"bind_before_connect",1,0
"bindgen",23,180
"bindgen_plugin",1,2
"bindiff",5,0
"bindkey",2,0
"binfield_matrix",1,2
"bingmaps",7,0
"bingrep",15,0
"binjs_meta",7,0
"binomial-heap",1,0
"binpatch",3,0
"bins",27,0
"binson",3,0
"bio",27,10
"bio-seq-algos",2,2
"biodata-parsers",1,0
"biorustlings",1,0
"bip_bencode",1,3
"bip_dht",9,0
"bip_disk",11,0
"bip_handshake",12,4
"bip_metainfo",10,2
"bip_peer",12,1
"bip_select",8,0
"bip_util",5,6
"bip_utracker",9,1
"bip39",9,0
"biscuit",12,1
"bisetmap",1,0
"bismuth",12,0
"bit",0,1
"bit_collection",2,0
"bit_collection_derive",2,1
"bit_crusher",2,0
"bit_manager_derive",3,1
"bit_utils",0,2
"bit-array",4,2
"bit-matrix",1,5
"bit-set",2,35
"bit-vec",1,57
"bitalloc",2,0
"bitarray-set",5,0
"bitbank",8,0
"bitboard",1,1
"bitcheck",2,0
"bitcoin",13,5
"bitcoin-bech32",1,0
"bitcoin-consensus",4,0
"bitcoin-rpc",3,0
"bitcoinconsensus",4,0
"bitex",5,0
"bitfield-register",3,0
"bitfield-register-macro",2,1
"bitfinex",10,0
"bitflags",0,421
"bitflags-associated-constants",1,2
"bitintr",2,2
"bitio",1,0
"bitlab",1,0
"bitmap",1,0
"bitmaptrie",1,0
"bitness",4,1
"bitonic",2,0
"bitpack",1,1
"bitreader",0,7
"bitreel",3,1
"bits-sys",1,0
"bitsparrow",0,1
"bitsparrow-derive",3,0
"bitstream",0,1
"bitstring",0,3
"bitstring-trees",1,0
"bitter",4,1
"bitterlemon",2,0
"bittrex",10,0
"bittrex-api",9,0
"bitwise",3,0
"bk-tree",1,0
"bklyn",8,0
"black_scholes",1,0
"blacklog",3,0
"blackrock",3,0
"bladerf",1,0
"blake",2,1
"blake2",6,19
"blake2_c",4,0
"blake2-rfc",6,12
"blake2b",2,0
"blas",8,12
"blas-src",3,3
"blas-sys",7,8
"blastfig",1,3
"blc",1,0
"ble",1,0
"bleach",1,0
"blerp",4,0
"blh",2,0
"blinkt",6,0
"blip_buf",2,0
"blip_buf-sys",2,1
"blissb",4,1
"blist",2,6
"blit",8,3
"blkid",3,0
"blkid-rs",4,1
"blkid-sys",1,1
"blob",4,0
"blob-store",2,0
"blob-uuid",3,0
"blobber",1,0
"blobstore",2,0
"block",4,6
"block_allocator",3,1
"block-buffer",3,14
"block-cipher-trait",1,13
"block-modes",3,1
"block-utils",8,0
"blockchain",0,6
"blockcounter-utils",5,0
"blockies",3,0
"blocktest",4,0
"bloodhound",3,1
"bloom",2,0
"bloom_filter",3,0
"bloom_rs",1,0
"bloom-filter-wbj",1,0
"bloom-server",17,0
"bloomberg",2,0
"bloomchain",3,0
"bloomfilter",4,0
"blorb",1,0
"blosc-sys",2,0
"blossom",1,0
"blowfish",5,0
"bluenoisers",1,0
"bluepill-usbcdc",1,0
"bluepill-usbhid",1,0
"bluetooth-serial-port",4,1
"bluetoothapis-sys",1,0
"blunder",3,0
"blurmac",2,0
"blurmock",2,0
"blurz",3,1
"bmemcached",11,0
"bmfont",2,0
"bmidi",5,0
"bmp",1,3
"bmp_rs",1,0
"bmp-encoder",1,0
"bmp085",3,0
"bmp280",2,0
"bn",5,0
"bn-plus",4,1
"bnf",4,0
"bns",2,0
"bobbin-cli",11,0
"bodyparser",7,19
"boiler",9,0
"boiler-generated",1,1
"boilerplate",3,0
"boldline",1,0
"bolt-server",7,0
"boolean_expression",3,0
"boondock",10,1
"bootimage",9,0
"bootinfo",9,0
"bootloader",5,0
"bootsector",2,1
"bop",1,0
"borealis",2,1
"borealis_codegen",7,0
"borg-hive",18,0
"boringauth",6,0
"boringssl",1,0
"boron",3,0
"borrow-bag",1,1
"borsholder",24,0
"bosh",4,0
"bosh_compiler",5,1
"bosonnlp",13,0
"bosun_emitter",9,1
"botanio",4,0
"botocore_parser",7,0
"bottymcbottyface",2,0
"bounded-integer-plugin",1,0
"bounded-spsc-queue",1,0
"bow",2,1
"bowling",2,0
"box_stream",14,4
"boxcars",12,0
"boxed",2,0
"boxxy",21,3
"bpf",2,0
"bpfjit",2,0
"brain",2,0
"brain-brainfuck",4,0
"brain-rs",1,0
"brainfuck",2,0
"brainfuck_rs",2,0
"brainheck",1,0
"braintree",5,0
"brassfibre",4,0
"bread",1,0
"breakpad",3,0
"breakpad-symbols",4,1
"bresenham",0,1
"brev",2,6
"brewcalc",1,0
"BrewStillery",4,0
"brickcheck",1,0
"broadcast",0,2
"bronze",1,0
"brotli",3,2
"brotli-decompressor",1,1
"brotli-no-stdlib",1,1
"brotli-sys",3,3
"brotli2",4,7
"bs58",2,6
"bsalloc",2,1
"bsdiff",1,0
"bson",15,13
"bson-rs",3,1
"bspc",2,0
"bspl",2,0
"bspline",1,1
"bst",3,0
"bstring",2,2
"bstring_macros",3,0
"bstring_macros_hack",4,1
"bswap",0,3
"bthprops-sys",1,0
"btoi",3,2
"btree",1,0
"btrfs",8,4
"btrfs-dedupe",4,0
"btrfs2",7,2
"btrup",4,0
"bucket-limiter",2,0
"buerostatus",2,0
"buf",3,0
"buf_file",1,0
"buf_redux",2,6
"buf-read-ext",2,2
"buffer",2,0
"bufferoverflow-sys",1,0
"bufferoverflowu-sys",1,0
"bufstream",2,28
"bugsnag",9,0
"bui-backend",13,0
"bui-backend-codegen",2,1
"build",1,0
"build_epoch",2,0
"build_metadata",3,0
"build-helper",1,3
"build-probe-mpi",1,2
"buildable",0,7
"buildchain",11,0
"built",5,1
"bulk",17,0
"bullet",17,0
"bullet_core",10,2
"bullet_macros",2,1
"bulletinboard",11,0
"bulwark",1,0
"burning-sanders",2,0
"burst-pool",16,0
"bus",6,4
"businessday_jp",2,0
"buzz",9,0
"bvh",7,0
"byond",2,0
"byte",2,0
"byte_channel",3,0
"byte_sha",1,1
"byte_stream_splitter",1,0
"byte_units",3,0
"byte-sequence",3,0
"bytebuffer",1,0
"bytecount",4,6
"bytekey",5,0
"byteorder",3,766
"byteorder_core_io",3,1
"byteorder-pod",3,0
"bytepack",1,3
"bytepack_derive",2,2
"bytes",7,174
"bytesize",1,1
"bzip2",7,16
"bzip2-sys",3,1
"c",1,0
"c_fixed_string",1,0
"c_str_macro",1,1
"c_string",1,0
"c_vec",1,10
"c-ares",14,1
"c-ares-resolver",9,0
"c-ares-sys",8,1
"c-certitude",2,0
"c-types",2,2
"c3",2,1
"c3_clang_extensions",4,1
"ca",2,0
"cab",6,1
"cabal-rs",1,1
"cabinet-sys",1,0
"cabot",9,2
"caca",4,0
"caca-sys",1,1
"cache",3,0
"cached",1,1
"cachy",2,0
"cadence",4,1
"caesar",1,0
"caesarlib",2,0
"caf",1,2
"caffe",2,0
"caffrey",1,0
"cafs",10,0
"cage",34,0
"cagra",4,0
"cai_cyclic",1,0
"cai_golay",1,0
"cairo",2,1
"cairo-rs",7,20
"cairo-sys-rs",4,14
"cake",1,0
"cal",1,0
"calamine",11,3
"calco",2,0
"calculate",4,1
"calculator",1,0
"calcver",13,0
"caldyn",3,0
"calendar_queue",1,0
"calm",20,0
"calx-ecs",6,0
"camera_capture",7,2
"camera_controllers",7,9
"can-utils",1,0
"canal",0,1
"candidateparser",2,0
"caniuse",8,0
"caniuse-serde",8,1
"canonical_json",6,0
"canteen",8,0
"canvas",3,0
"capabilities",1,2
"capella",10,0
"caper",25,0
"capgun",3,0
"caphindsight_fft",2,0
"capnp",5,12
"capnp-futures",4,1
"capnp-gj",4,1
"capnp-nonblock",3,0
"capnp-rpc",7,1
"capnpc",1,7
"caps",5,2
"capsicum",1,0
"capstone",5,2
"capstone_rust",2,0
"capstone-sys",6,2
"capstone3",2,2
"captcha",6,0
"captrs",3,0
"capturing-glob",1,0
"car_registration",3,0
"carbon",1,0
"carboxyl",4,7
"carboxyl_time",3,0
"carboxyl_window",12,1
"carboxyl-cli",1,0
"card-validate",3,1
"carddav",5,0
"cards",1,4
"cargo",52,40
"cargo_metadata",7,11
"cargo_rub",7,0
"cargo_toml_validate",2,0
"cargo-add",4,0
"cargo-apk",4,0
"cargo-arch",3,0
"cargo-asm",11,0
"cargo-at",1,0
"cargo-audit",7,0
"cargo-authors",7,0
"cargo-bake",4,0
"cargo-benchcmp",7,0
"cargo-bitbake",10,0
"cargo-bloat",10,0
"cargo-board",3,0
"cargo-bom",4,0
"cargo-brew",3,0
"cargo-build-deps",2,0
"cargo-bump",5,0
"cargo-bundle",20,0
"cargo-cacher",12,0
"cargo-cake",1,0
"cargo-canoe",1,0
"cargo-check",1,0
"cargo-chrono",11,0
"cargo-cli",9,0
"cargo-clippy",1,0
"cargo-cln",2,0
"cargo-clone",4,0
"cargo-config",2,0
"cargo-contribute",32,0
"cargo-cook",13,0
"cargo-count",7,0
"cargo-cov",25,0
"cargo-coverage-annotations",3,0
"cargo-crusader",4,0
"cargo-ctags",1,0
"cargo-deadlinks",10,0
"cargo-deb",16,0
"cargo-deliver",6,0
"cargo-demangle",3,0
"cargo-deploy",2,0
"cargo-dinghy",7,0
"cargo-doc-coverage",2,0
"cargo-docgen",2,0
"cargo-dock",6,0
"cargo-docker",1,0
"cargo-docserve",3,0
"cargo-download",20,0
"cargo-drone",10,0
"cargo-ebuild",5,0
"cargo-edit",21,2
"cargo-edit-locally",10,0
"cargo-ensure-installed",3,0
"cargo-erlangapp",3,1
"cargo-expand",2,0
"cargo-external-doc",3,0
"cargo-extras",28,0
"cargo-faircode",11,0
"cargo-fancy",1,0
"cargo-find",7,0
"cargo-fmt",1,0
"cargo-fuzz",12,0
"cargo-ghp-upload",2,0
"cargo-gist",5,0
"cargo-go",4,0
"cargo-graph",4,0
"cargo-hublish",10,0
"cargo-incremental",9,0
"cargo-info",12,0
"cargo-kcov",9,0
"cargo-kythe",1,0
"cargo-license",5,0
"cargo-lichking",4,0
"cargo-linebreak",2,0
"cargo-lipo",2,0
"cargo-llvm-lines",3,0
"cargo-local-pkgs",7,0
"cargo-local-registry",6,0
"cargo-lyc",11,0
"cargo-maj",14,0
"cargo-make",14,0
"cargo-mdparse",5,0
"cargo-mod",1,0
"cargo-modules",4,0
"cargo-mpirun",4,0
"cargo-multi",5,0
"cargo-mutagen",1,0
"cargo-navigate",7,0
"cargo-nuget",10,0
"cargo-open",2,0
"cargo-osha",2,0
"cargo-outdated",13,0
"cargo-outofdate",5,0
"cargo-pack",7,1
"cargo-pack-docker",14,0
"cargo-package-recompile",1,0
"cargo-pkgbuild",2,0
"cargo-plugin",4,0
"cargo-profiler",5,0
"cargo-proto-raze",4,0
"cargo-prune",3,0
"cargo-raze",11,0
"cargo-readme",7,1
"cargo-registry",44,0
"cargo-registry-s3",5,1
"cargo-release",8,0
"cargo-remote",7,0
"cargo-safety",8,0
"cargo-screeps",11,0
"cargo-script",24,0
"cargo-shell",5,0
"cargo-shim",2,2
"cargo-ship",1,0
"cargo-show",7,0
"cargo-sls-distribution",15,0
"cargo-snippet",8,0
"cargo-sphinx",5,0
"cargo-stdx-check",5,0
"cargo-swagger",20,0
"cargo-sym",8,0
"cargo-tally",24,0
"cargo-tarpaulin",17,0
"cargo-template",11,0
"cargo-test-junit",5,0
"cargo-testify",5,0
"cargo-testjs",4,0
"cargo-thank-you-stars",7,0
"cargo-thanks",16,0
"cargo-tidy",7,0
"cargo-todox",3,0
"cargo-travis",8,0
"cargo-tree",6,0
"cargo-update",15,0
"cargo-urlcrate",6,0
"cargo-vendor",9,0
"cargo-version",1,1
"cargo-version-cli",1,0
"cargo-wa",3,0
"cargo-wasm",12,0
"cargo-watch",16,0
"cargo-web",39,0
"cargo-when",2,0
"cargo-wix",10,0
"cargo-workspace",4,0
"cargo-xcode",3,0
"cargo-yaml",4,0
"cargon",1,3
"cargonauts",5,0
"cargonauts-cli",3,0
"caribon",3,1
"carnix",13,0
"carp",9,0
"cart",2,0
"cart-cache",2,0
"carto",1,0
"case",0,8
"caseconv",1,0
"caseless",2,0
"casing",0,1
"cask",10,0
"cassandra",14,0
"cassandra-cpp",14,0
"cassandra-cpp-sys",5,1
"cassandra-sys",6,1
"cassowary",0,2
"cast",2,18
"castle-game",12,0
"castor",2,0
"cat-reader",1,0
"catalog",1,0
"catapult",7,0
"catcsv",10,0
"catflap",3,0
"catfs",15,0
"cathulhu",3,0
"catlines",3,0
"catmark",6,0
"catt-core",7,0
"cattlerustler",7,1
"cavity-cli",2,0
"cbindgen",9,5
"cblas",3,1
"cblas_ffi",1,3
"cblas-sys",1,2
"cbor",4,19
"cbor-codec",10,1
"cbox",1,2
"cbuf",0,1
"cc",2,114
"ccv",2,0
"cdb",2,0
"cdbd",10,0
"cdc",2,0
"cdg_renderer",2,0
"cdr",5,0
"cdrs",12,0
"cedar",5,0
"cell-gc",3,0
"cell-gc-derive",2,1
"cellsplit",6,0
"cellular_maps",1,0
"celly",3,0
"cem",2,1
"cemconv",5,0
"ceph",12,1
"ceph_usage",2,0
"ceph-rust",7,2
"ceph-safe-disk",6,0
"ceplugin",2,0
"ceramic",6,0
"cereal",1,1
"cernan",43,0
"certadm-sys",1,0
"certca-sys",1,0
"certcli-sys",1,0
"certidl-sys",1,0
"certitude",5,1
"certpoleng-sys",1,0
"cervisia",10,0
"cervus",5,2
"cervus_bridge",1,0
"cexpr",4,2
"cfasttext-sys",2,1
"cfb",4,1
"cfg",2,6
"cfg-regex",3,1
"cfgmgr32-sys",1,0
"cfile",1,0
"cfor",1,2
"cfrp",4,0
"cg-sys",1,1
"cgl",2,8
"cgmath",13,75
"cgroup-sys",1,0
"cha",1,0
"chacha",2,0
"chacha20-poly1305-aead",2,1
"chain",3,0
"chain_peer",5,0
"chain-p2p",6,0
"chainbuf",4,0
"chainmail",1,0
"chakracore",6,0
"chakracore-sys",6,1
"challonge",5,0
"chamkho",4,0
"chan",3,31
"chan-signal",4,21
"changelog-rs",2,0
"chanvese",3,0
"chaos",11,0
"char_classifier",9,0
"char_set",2,0
"char_stream",1,0
"chardet",0,2
"chariot_drs",3,0
"chariot_io_tools",2,2
"chariot_palette",1,0
"chariot_slp",3,0
"charmhelpers",2,1
"chase",5,0
"chashmap",2,4
"chatbot",8,0
"cheat",2,0
"check-versions",3,0
"checked",1,1
"checked_command",1,0
"checkmail",2,0
"checkstyle_formatter",1,1
"checksum",0,1
"checksums",18,0
"chef",9,0
"chef_api",17,1
"chelone",3,0
"chema",10,0
"chemfiles",4,0
"chemfiles-sys",2,1
"chemise",1,0
"cheque",1,0
"chess",5,1
"chess_perft",2,0
"chess_pgn_parser",3,0
"chess-move-gen",3,0
"chess-rs",2,0
"chessground",12,0
"chfft",6,0
"chibios",0,1
"chiisai",3,0
"chill",9,1
"chimper",7,0
